Feature,Importance
cat__customer_city_parisi,0.0
cat__customer_city_rechan,0.0
cat__customer_city_parnaiba,0.0
cat__customer_city_reboucas,0.0
cat__customer_city_realeza,0.0
cat__customer_city_parobe,0.0
cat__customer_city_passa quatro,0.0
cat__customer_city_passa tres,0.0
cat__customer_city_passagem,0.0
cat__customer_city_passagem franca,0.0
cat__customer_city_passo de camaragibe,0.0
cat__customer_city_passo de torres,0.0
cat__customer_city_passo fundo,0.0
cat__customer_city_passos,0.0
cat__customer_city_ravena,0.0
cat__customer_city_picada cafe,0.0
cat__customer_city_picui,0.0
cat__customer_city_picarra,0.0
cat__customer_city_ponte nova,0.0
cat__customer_city_pongai,0.0
cat__customer_city_presidente lucena,0.0
cat__customer_city_ponta pora,0.0
cat__customer_city_pontal,0.0
cat__customer_city_pontal do parana,0.0
cat__customer_city_pontalina,0.0
cat__customer_city_pontalinda,0.0
cat__customer_city_presidente kubitschek,0.0
cat__customer_city_pontao,0.0
cat__customer_city_ponte alta do norte,0.0
cat__customer_city_ponte serrada,0.0
cat__customer_city_pompeia,0.0
cat__customer_city_pontes e lacerda,0.0
cat__customer_city_pontes gestal,0.0
cat__customer_city_presidente kennedy,0.0
cat__customer_city_ponto belo,0.0
cat__customer_city_ponto dos volantes,0.0
cat__customer_city_populina,0.0
cat__customer_city_porangaba,0.0
cat__customer_city_porangatu,0.0
cat__customer_city_presidente getulio,0.0
cat__customer_city_porciuncula,0.0
cat__customer_city_pompeu,0.0
cat__customer_city_pomerode,0.0
cat__customer_city_picarras,0.0
cat__customer_city_poco de pedra,0.0
cat__customer_city_placas,0.0
cat__customer_city_planaltina,0.0
cat__customer_city_planaltina de goias,0.0
cat__customer_city_planalto,0.0
cat__customer_city_planura,0.0
cat__customer_city_presidente venceslau,0.0
cat__customer_city_presidente tancredo neves,0.0
cat__customer_city_pocao,0.0
cat__customer_city_pocao de pedras,0.0
cat__customer_city_pocinhos,0.0
cat__customer_city_poco fundo,0.0
cat__customer_city_pombal,0.0
cat__customer_city_poco redondo,0.0
cat__customer_city_poco verde,0.0
cat__customer_city_pocoes,0.0
cat__customer_city_pocoes de paineiras,0.0
cat__customer_city_presidente olegario,0.0
cat__customer_city_pocrane,0.0
cat__customer_city_pojuca,0.0
cat__customer_city_presidente nereu,0.0
cat__customer_city_presidente medici,0.0
cat__customer_city_poloni,0.0
cat__customer_city_porecatu,0.0
cat__customer_city_portalegre,0.0
cat__customer_city_portao,0.0
cat__customer_city_pradopolis,0.0
cat__customer_city_porto murtinho,0.0
cat__customer_city_porto nacional,0.0
cat__customer_city_porto real,0.0
cat__customer_city_porto rico,0.0
cat__customer_city_porto seguro,0.0
cat__customer_city_porto trombetas,0.0
cat__customer_city_porto uniao,0.0
cat__customer_city_porto velho,0.0
cat__customer_city_prados,0.0
cat__customer_city_porto xavier,0.0
cat__customer_city_posse,0.0
cat__customer_city_presidente epitacio,0.0
cat__customer_city_posto da mata,0.0
cat__customer_city_pote,0.0
cat__customer_city_potengi,0.0
cat__customer_city_prado,0.0
cat__customer_city_poxoreu,0.0
cat__customer_city_potim,0.0
cat__customer_city_potiragua,0.0
cat__customer_city_pouso redondo,0.0
cat__customer_city_potirendaba,0.0
cat__customer_city_pouso novo,0.0
cat__customer_city_praia norte,0.0
cat__customer_city_porto lucena,0.0
cat__customer_city_porto grande,0.0
cat__customer_city_prata,0.0
cat__customer_city_presidente dutra,0.0
cat__customer_city_porteiras,0.0
cat__customer_city_porteirinha,0.0
cat__customer_city_presidente castello branco,0.0
cat__customer_city_portelandia,0.0
cat__customer_city_porto acre,0.0
cat__customer_city_presidente bernardes,0.0
cat__customer_city_presidente alves,0.0
cat__customer_city_acu,0.0
cat__customer_city_porto alegre do norte,0.0
cat__customer_city_porto amazonas,0.0
cat__customer_city_porto belo,0.0
cat__customer_city_porto calvo,0.0
cat__customer_city_porto de pedras,0.0
cat__customer_city_porto esperidiao,0.0
cat__customer_city_porto estrela,0.0
cat__customer_city_porto feliz,0.0
cat__customer_city_porto ferreira,0.0
cat__customer_city_pratapolis,0.0
cat__customer_city_porto firme,0.0
cat__customer_city_porto franco,0.0
cat__customer_city_piumhii,0.0
cat__customer_city_piumhi,0.0
cat__customer_city_piuma,0.0
cat__customer_city_pureza,0.0
cat__customer_city_puxinana,0.0
cat__customer_city_pindorama,0.0
cat__customer_city_pindorama do tocantins,0.0
cat__customer_city_pindoretama,0.0
cat__customer_city_pinhais,0.0
cat__customer_city_putinga,0.0
cat__customer_city_pinhal da serra,0.0
cat__customer_city_purilandia,0.0
cat__customer_city_pinhalao,0.0
cat__customer_city_pinhalzinho,0.0
cat__customer_city_pugmil,0.0
cat__customer_city_piquerobi,0.0
cat__customer_city_pinhao,0.0
cat__customer_city_pinheiral,0.0
cat__customer_city_pinheiro,0.0
cat__customer_city_pinheiro machado,0.0
cat__customer_city_pinheiros,0.0
cat__customer_city_pinhotiba,0.0
cat__customer_city_prudentopolis,0.0
cat__customer_city_pintadas,0.0
cat__customer_city_pinto bandeira,0.0
cat__customer_city_pio ix,0.0
cat__customer_city_pindobacu,0.0
cat__customer_city_quadra,0.0
cat__customer_city_quarai,0.0
cat__customer_city_pindoba,0.0
cat__customer_city_picos,0.0
cat__customer_city_quatro pontes,0.0
cat__customer_city_pouso alto,0.0
cat__customer_city_quatro bocas,0.0
cat__customer_city_piedade,0.0
cat__customer_city_piedade de caratinga,0.0
cat__customer_city_piedade do rio grande,0.0
cat__customer_city_pien,0.0
cat__customer_city_pilao arcado,0.0
cat__customer_city_quatro barras,0.0
cat__customer_city_pilar,0.0
cat__customer_city_pilar do sul,0.0
cat__customer_city_pimenta,0.0
cat__customer_city_quatis,0.0
cat__customer_city_pimenta bueno,0.0
cat__customer_city_pimenteiras,0.0
cat__customer_city_quatigua,0.0
cat__customer_city_pindai,0.0
cat__customer_city_pindamonhangaba,0.0
cat__customer_city_pindare mirim,0.0
cat__customer_city_quata,0.0
cat__customer_city_pio xii,0.0
cat__customer_city_piquete,0.0
cat__customer_city_pium,0.0
cat__customer_city_papucaia,0.0
cat__customer_city_pirapozinho,0.0
cat__customer_city_piraquara,0.0
cat__customer_city_pirassununga,0.0
cat__customer_city_primeiro de maio,0.0
cat__customer_city_piratini,0.0
cat__customer_city_piratininga,0.0
cat__customer_city_piratuba,0.0
cat__customer_city_pirauba,0.0
cat__customer_city_pirenopolis,0.0
cat__customer_city_pires do rio,0.0
cat__customer_city_piripa,0.0
cat__customer_city_piracaia,0.0
cat__customer_city_piripiri,0.0
cat__customer_city_piritiba,0.0
cat__customer_city_pirpirituba,0.0
cat__customer_city_pitanga,0.0
cat__customer_city_primavera do leste,0.0
cat__customer_city_pitanga de estrada,0.0
cat__customer_city_pitangueiras,0.0
cat__customer_city_pitangui,0.0
cat__customer_city_pitimbu,0.0
cat__customer_city_primavera,0.0
cat__customer_city_pirapora do bom jesus,0.0
cat__customer_city_princesa isabel,0.0
cat__customer_city_pirapora,0.0
cat__customer_city_pirapetinga,0.0
cat__customer_city_prudente de morais,0.0
cat__customer_city_prudencio thomaz,0.0
cat__customer_city_piracanjuba,0.0
cat__customer_city_piracema,0.0
cat__customer_city_protasio alves,0.0
cat__customer_city_piracuruca,0.0
cat__customer_city_pirai,0.0
cat__customer_city_pirai do norte,0.0
cat__customer_city_pirai do sul,0.0
cat__customer_city_propria,0.0
cat__customer_city_piraju,0.0
cat__customer_city_pirajuba,0.0
cat__customer_city_pirajui,0.0
cat__customer_city_pirambu,0.0
cat__customer_city_piranga,0.0
cat__customer_city_pirangi,0.0
cat__customer_city_piranguinho,0.0
cat__customer_city_promissao,0.0
cat__customer_city_piranhas,0.0
cat__customer_city_progresso,0.0
cat__customer_city_pirapemas,0.0
cat__customer_city_pires ferreira,0.0
cat__customer_city_adrianopolis,0.0
cat__customer_city_papanduva,0.0
cat__customer_city_mirassol,0.0
cat__customer_city_miracatu,0.0
cat__customer_city_miracema,0.0
cat__customer_city_miradouro,0.0
cat__customer_city_mirai,0.0
cat__customer_city_miraima,0.0
cat__customer_city_miranda,0.0
cat__customer_city_miranda do norte,0.0
cat__customer_city_mirandiba,0.0
cat__customer_city_mirandopolis,0.0
cat__customer_city_miranorte,0.0
cat__customer_city_mirante da serra,0.0
cat__customer_city_mirante do paranapanema,0.0
cat__customer_city_mirassol d'oeste,0.0
cat__customer_city_matriz de camaragibe,0.0
cat__customer_city_miravania,0.0
